,Symbol,Name,Rank,Price,Change24h,MarketCap,Volume24h,Supply,Category
40,MKR,Maker,41,1205.32981,-1.03%,1085000000.0,70728000.0,900418.0,"Lending & Borrowing, DeFi, DAO"
41,OP,Optimism,42,1.55822151,-7.61%,1115000000.0,174137000.0,715825000.0,Scaling
42,GRT,The Graph,43,0.10819764,0.53%,986567000.0,60945000.0,9118000000.0,"Data management & AI, Enterprise solutions, Web3"
43,AAVE,Aave,44,66.840245,0.48%,970564000.0,78298000.0,14521000.0,"Lending & Borrowing, DeFi, DAO"
44,ALGO,Algorand,45,0.11283482,-0.62%,881143000.0,40294000.0,7809000000.0,"Smart contract platforms, Layer 1"
45,XDC,XDC Network,46,0.062006,-6.73%,859100000.0,17561000.0,13855000000.0,"Smart contract platforms, Enterprise solutions, Layer 1"
46,SAND,The Sandbox,47,0.40439156,-0.90%,831247000.0,71566000.0,2056000000.0,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
47,AXS,Axie Infinity,48,5.9289595,-0.46%,774500000.0,34698000.0,130630000.0,"Gaming, NFTs & Collectibles, Metaverse"
48,STX,Stacks,49,0.58271386,-1.89%,814611000.0,40555000.0,1398000000.0,"Smart contract platforms, NFTs & Collectibles, DeFi, Metaverse, Web3"
49,EGLD,Elrond,50,31.057056,-1.23%,801724000.0,17421000.0,25815000.0,"Smart contract platforms, Layer 1"
50,EOS,EOS,51,0.72669561,0.34%,798801000.0,102214000.0,1099000000.0,Smart contract platforms
51,IMX,Immutable X,52,0.72223149,-1.49%,781366000.0,16360000.0,1082000000.0,"Developments tools, Gaming, NFTs & Collectibles, Scaling, Marketplace"
52,XTZ,Tezos,53,0.78987740,-1.09%,748858000.0,14217000.0,948068000.0,"Smart contract platforms, Layer 1"
53,USDD,USDD,54,0.99868927,-0.10%,740246000.0,22632000.0,741218000.0,"Stablecoins, Algorithmic Stablecoins"
54,THETA,Theta Network,55,0.74007551,0.94%,740076000.0,12072000.0,1000000000.0,"Smart contract platforms, Enterprise solutions, Social, media & Content, Web3"
55,MANA,Decentraland,56,0.36698404,-1.06%,675673000.0,45587000.0,1841000000.0,"Gaming, NFTs & Collectibles, Metaverse"
56,SNX,Synthetix,57,2.5854309,0.43%,693592000.0,37283000.0,268269000.0,"Decentralized exchange, Derivatives, DeFi, DAO"
57,BSV,Bitcoin SV,58,36.02632,-1.17%,694086000.0,518203000.0,19266000.0,"Cryptocurrencies, Scaling"
58,APE,ApeCoin,59,1.82842833,-1.51%,673423000.0,50048000.0,368307000.0,NFTs & Collectibles
59,FTM,Fantom,60,0.23516500,-0.81%,658641000.0,42655000.0,2801000000.0,"Smart contract platforms, Enterprise solutions, Layer 1"
60,INJ,Injective,61,7.8613317,-3.22%,658443000.0,26079000.0,83757000.0,"Smart contract platforms, Data management & AI, Interoperability, DeFi, Web3, Layer 1"
61,RNDR,Render Token,62,1.6618829,1.52%,614373000.0,26542000.0,369685000.0,"Gaming, Distributed computing & Storage, Data management & AI, Metaverse, Web3"
62,NEO,Neo,63,8.58573211,0.35%,605628000.0,306635000.0,70539000.0,"Smart contract platforms, Enterprise solutions"
63,FLOW,Flow,64,0.55449440,-1.23%,574567000.0,22598000.0,1036000000.0,"Smart contract platforms, NFTs & Collectibles, Sports, Layer 1"
64,XEC,eCash,65,0.00002929,-2.46%,570160000.0,11180000.0,N/A,"Cryptocurrencies, Layer 1"
65,KAVA,Kava,66,0.82676921,-0.98%,564881000.0,8622000.0,683239000.0,Smart contract platforms
66,CFX,Conflux,67,0.17771020,-0.05%,562489000.0,18515000.0,3165000000.0,"Smart contract platforms, Interoperability, DeFi, Web3"
67,KCS,KuCoin Token,68,5.60814112,-0.60%,540150000.0,548301.0,96315000.0,Centralized exchange
68,CHZ,Chiliz,69,0.07577002,-0.93%,528773000.0,25237000.0,6979000000.0,"Loyalty & Rewards, Sports, Layer 1"
69,GALA,Gala,70,0.02317080,-1.68%,582523000.0,55025000.0,25140000000.0,"Gaming, NFTs & Collectibles"
70,CRV,Curve DAO Token,71,0.60707568,1.61%,528592000.0,65560000.0,870719000.0,"Decentralized exchange, DeFi, DAO"
71,RPL,Rocket Pool,72,26.96177402,4.64%,528549000.0,10039000.0,19604000.0,"Derivatives, DeFi"
72,USDP,Pax Dollar,73,0.9967,-0.50%,505161000.0,9116000.0,506834000.0,"Stablecoins, Asset-backed Stablecoins, Cryptocurrencies"
73,KLAY,Klaytn,74,0.15611273,-0.29%,499079000.0,5941000.0,3197000000.0,"Smart contract platforms, Gaming, Metaverse"
74,MIOTA,IOTA,75,0.17344195,-0.27%,482087000.0,5428000.0,2780000000.0,"Cryptocurrencies, Internet of things"
75,ZEC,Zcash,76,29.348117,-0.89%,N/A,55654000.0,N/A,"Privacy, Cryptocurrencies, Layer 1"
76,PAXG,PAX Gold,77,1925.126573,-0.23%,477851000.0,7316000.0,248218.0,Asset-backed Tokens
77,PEPE,Pepe,78,0.0000012200,3.60%,515835000.00000006,169732000.0,N/A,Memes
78,XAUT,Tether Gold,79,1915.89,-0.58%,471960000.0,1175000.0,246340.0,Asset-backed Tokens
79,LUNC,Terra Classic,80,0.00007762,-0.94%,451307000.0,15328000.0,N/A,"Smart contract platforms, Payments, Layer 1"
80,FXS,Frax Share,81,6.18412729,-0.09%,450035000.0,30302000.0,72773000.0,"Algorithmic Stablecoins, Seigniorage, Derivatives, DeFi"
81,GMX,GMX,82,49.85016742,0.54%,445356000.0,12847000.0,8934000.0,"Decentralized exchange, Derivatives, DeFi"
82,BTT,BitTorrent-New,83,0.0000004700,1.06%,444409000.0,12338000.0,N/A,"Distributed computing & Storage, Web3"
83,COMP,Compound,84,55.548609,-0.79%,381345000.0,58539000.0,6865000.0,"Lending & Borrowing, DeFi, DAO"
84,CSPR,Casper,85,0.038236,-1.64%,429486000.0,5229000.0,11232000000.0,"Smart contract platforms, Enterprise solutions, Layer 1"
85,MINA,Mina,86,0.45243883,-0.73%,428998000.0,12066000.0,948190000.0,"Smart contract platforms, Layer 1"
86,SUI,Sui,87,0.59200966,-0.74%,428119000.0,103852000.0,723162000.0,"Smart contract platforms, Developments tools, Scaling, Layer 1"
87,HT,Huobi Token,88,2.5946,-0.65%,413314000.0,18150000.0,159298000.0,"Centralized exchange, Layer 1"
88,GT,GateToken,89,4.0923,0.03%,393042000.0,857442.0,96044000.0,Centralized exchange
89,TWT,Trust Wallet Token,90,0.91199112,-1.78%,379981000.0,5346000.0,416650000.0,Payments
90,DASH,Dash,91,32.759320,-0.69%,373351000.0,54352000.0,11397000.0,"Privacy, Cryptocurrencies, DAO"
91,BONE,Bone ShibaSwap,92,1.6100,-3.35%,370759000.0,9889000.0,230285000.0,"Memes, Decentralized exchange, NFTs & Collectibles, DeFi"
92,NEXO,Nexo,93,0.65089204,0.13%,364648000.0,1849000.0,560228000.0,"Lending & Borrowing, Payments"
93,GUSD,Gemini Dollar,94,1.000,0.60%,360222000.0,1221000.0,360222000.0,"Stablecoins, Asset-backed Stablecoins"
94,AR,Arweave,95,5.2708600,-0.35%,345000000.0,3970000.0,65453999.99999999,"Distributed computing & Storage, Web3"
95,RUNE,THORChain,96,1.00837787,0.32%,342273000.0,35419000.0,339430000.0,"Decentralized exchange, DeFi, Layer 1"
96,DYDX,dYdX,97,2.12670694,1.77%,364011000.0,44339000.0,171162000.0,"Decentralized exchange, Derivatives, DeFi"
97,WOO,WOO Network,98,0.18802285,1.76%,325426000.0,9829000.0,1731000000.0,"Centralized exchange, DeFi"
98,CAKE,PancakeSwap,99,1.49246740,-0.60%,318352000.0,17275000.0,213306000.0,"Decentralized exchange, DeFi"
99,NFT,APENFT,100,0.0000003200,-0.47%,317527000.0,19725000.0,N/A,"NFTs & Collectibles, Marketplace"
100,ZIL,Zilliqa,101,0.01997862,-0.55%,317015000.0,13862000.0,15868000000.0,"Smart contract platforms, Layer 1"
101,BAT,Basic Attention Token,102,0.21109858,-1.23%,314121000.0,32717000.0,1488000000.0,"Social, media & Content, Marketing, Web3"
102,1INCH,1inch Network,103,0.30534032,-0.47%,313542000.0,16096000.0,1026999999.9999999,"Decentralized exchange, Payments, DeFi"
103,FLR,FLARE,104,0.01484,0.75%,309446000.0,11202000.0,20852000000.0,"Developments tools, Interoperability, Layer 1"
104,LRC,Loopring,105,0.21993687,-2.53%,273713000.0,17348000.0,1245000000.0,"Decentralized exchange, Scaling, DeFi"
105,HNT,Helium,106,2.00987040,-2.98%,289290000.0,2043000.0000000002,143935000.0,"Internet of things, Enterprise solutions, Web3"
106,GNO,Gnosis,107,111.83000000,0.30%,289323000.0,2007000.0000000002,2587000.0,"Prediction markets, DeFi"
107,ENJ,Enjin Coin,108,0.28750956,-1.42%,287702000.0,13427000.0,1000999999.9999999,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
108,MASK,Mask Network,109,3.48294536,0.45%,285993000.0,46460000.0,82113000.0,"Privacy, Social, media & Content, Web3"
109,MX,MX TOKEN,110,2.7918,-2.12%,279180000.0,3743000.0,100000000.0,Centralized exchange
110,QTUM,Qtum,111,2.64842837,1.76%,277438000.0,43273000.0,104756000.0,Smart contract platforms
111,XEM,NEM,112,0.03011000,2.44%,270990000.0,14226000.0,9000000000.0,"Cryptocurrencies, Smart contract platforms, Enterprise solutions"
112,ROSE,Oasis Network,113,0.04676782,-0.43%,267779000.0,9754000.0,5726000000.0,"Privacy, Smart contract platforms, Data management & AI, Layer 1"
113,ENS,Ethereum Name Service,114,9.1624470,-1.77%,236338000.0,7118000.0,25794000.0,"Identity, Web3, DAO"
114,BTG,Bitcoin Gold,115,15.00920,-2.65%,262870000.0,6805000.0,17514000.0,Cryptocurrencies
115,CELO,Celo,116,0.50207907,-0.78%,255281000.0,10890000.0,508448000.0,"Smart contract platforms, Payments, Layer 1"
116,CVX,Convex Finance,117,3.22129096,0.38%,255804000.0,6281000.0,79410000.0,DeFi
117,AGIX,SingularityNET,118,0.20814605,-0.45%,N/A,19513000.0,N/A,"Data management & AI, Payments, Marketplace"
118,XCH,Chia,119,30.993,-0.87%,251946000.0,8382000.0,8129000.0,Smart contract platforms
119,TFUEL,Theta Fuel,120,0.04019034,0.02%,250737000.0,1947000.0,6239000000.0,"Social, media & Content"
120,ANKR,Ankr,121,0.02416287,-1.64%,197170000.0,9962000.0,8160000000.0,"Distributed computing & Storage, Derivatives, Enterprise solutions, Web3"
121,BLUR,Blur,122,0.28621677,-0.60%,N/A,18998000.0,N/A,NFTs & Collectibles
122,RVN,Ravencoin,123,0.01802574,-0.67%,231485000.0,5404000.0,12842000000.0,"Cryptocurrencies, DeFi"
123,ASTR,Astar,124,0.05126611,-2.41%,230486000.0,6670000.0,4496000000.0,"Smart contract platforms, Interoperability, Layer 1"
124,WLD,Worldcoin,125,1.82968279,-5.93%,226084000.0,70144000.0,123564000.0,"Privacy, Identity"
125,GMT,STEPN,126,0.20352155,-1.78%,222331000.0,17588000.0,1092000000.0,"NFTs & Collectibles, Move to earn"
126,DCR,Decred,127,14.480132,-0.72%,222976000.0,1077000.0,15399000.0,"Privacy, Cryptocurrencies, DAO"
127,OSMO,Osmosis,128,0.45575477,-0.48%,224501000.0,4860000.0,492591000.0,"Smart contract platforms, Decentralized exchange"
128,GLM,Golem,129,0.22792619,2.46%,227897000.0,125723000.0,999870000.0,"Distributed computing & Storage, Payments, Web3"
129,SFP,SafePal,130,0.44559614,3.62%,222798000.0,5310000.0,500000000.0,Payments
130,HOT,Holo,131,0.0012902,-0.91%,N/A,7020000.0,N/A,"Developments tools, Distributed computing & Storage"
131,BAL,Balancer,132,4.26577864,-1.03%,180913000.0,4227000.0,42410000.0,"Decentralized exchange, DeFi, DAO"
132,WAVES,Waves,133,1.91861505,0.04%,215220000.0,41760000.0,112175000.0,"Smart contract platforms, Layer 1"
133,T,Threshold,134,0.02370,-0.25%,211078000.0,6020000.0,8906000000.0,"Interoperability, DeFi, DAO"
134,FLOKI,Floki Inu,135,0.0000222600,0.57%,N/A,15812000.0,N/A,"Memes, Gaming, Metaverse"
135,OCEAN,Ocean Protocol,136,0.34322075,0.12%,148827000.0,16050999.999999998,433618000.0,"Distributed computing & Storage, Data management & AI"
136,AUDIO,Audius,137,0.18773507,0.23%,207506000.0,23690000.0,1105000000.0,"Social, media & Content, Web3, DAO"
137,YFI,yearn.finance,138,6316.531650,-2.24%,208512000.0,25101000.0,33011.0,"DeFi, DAO"
138,ICX,ICON,139,0.21278641,-0.59%,205229000.0,2934000.0,964485000.0,"Smart contract platforms, Interoperability, Enterprise solutions"
139,JST,JUST,140,0.02269459,-0.10%,202029000.0,55411000.0,8902000000.0,DeFi
140,KSM,Kusama,141,22.73092340,0.75%,192533000.0,8518000.0,8470000.0,Smart contract platforms
141,LUNA,Terra,142,0.56072417,-0.23%,192224000.0,30256000.0,342814000.0,Smart contract platforms
142,SC,Siacoin,143,0.00347000,0.00%,190315000.0,5565000.0,54846000000.0,"Distributed computing & Storage, Web3"
143,JASMY,JasmyCoin,144,0.00388,-1.02%,189460000.0,29887000.0,48830000000.0,Internet of things
144,SXP,SXP,145,0.32834605,-0.29%,188078000.0,8574000.0,572804000.0,"Cryptocurrencies, Payments, DeFi"
145,ZRX,0x,146,0.21508148,-0.14%,20059000.0,12308000.0,93261000.0,"Decentralized exchange, DeFi, DAO"
146,ETHW,ETHPoW (IOU),147,1.6982,-1.75%,183098000.0,4371000.0,107819000.0,Smart contract platforms
147,ANT,Aragon,148,4.40575586,1.03%,176507000.0,7212000.0,40063000.0,"Developments tools, DAO"
148,ELF,aelf,149,0.28486692,-0.11%,131301999.99999999,8940000.0,460923000.0,Distributed computing & Storage
149,SSV,ssv.network,150,17.4173601,0.20%,174174000.0,7480000.0,10000000.0,Developments tools
150,HIVE,Hive,151,0.34367080,-1.16%,172093000.0,4837000.0,500749000.0,"Social, media & Content, Web3"
151,MAGIC,MAGIC,152,0.75004175,-1.63%,166344000.0,40523000.0,221780000.0,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
152,GLMR,Moonbeam,153,0.23708149,3.35%,165574000.0,4245000.0,698383000.0,"Interoperability, Payments, Layer 1"
153,ILV,Illuvium,154,47.201883,-1.20%,266547000.00000003,6467000.0,5647000.0,"Gaming, NFTs & Collectibles, Metaverse, DAO"
154,SUSHI,SushiSwap,155,0.71385636,-1.13%,137595000.0,18338000.0,192749000.0,"Decentralized exchange, DeFi, DAO"
155,ONT,Ontology,156,0.18764599,0.71%,165903000.0,11346000.0,884128000.0,"Smart contract platforms, Identity"
156,WAXP,WAX,157,0.04907451,-0.82%,163761000.0,1894000.0,3337000000.0,"Gaming, NFTs & Collectibles"
157,FET,Fetch.ai,158,0.19709709,-1.43%,205391000.0,16684000.000000002,1042000000.0,"Data management & AI, Interoperability, Layer 1"
158,IOTX,IoTeX,159,0.01684428,-6.45%,159100000.0,3187000.0,9445000000.0,"Smart contract platforms, Internet of things"
159,BAND,Band Protocol,160,1.2020408,-2.40%,159424000.0,4976000.0,132627000.00000001,"Oracles, Data management & AI, Web3"
160,IOST,IOST,161,0.00885905,-0.96%,165743000.0,4979000.0,18709000000.0,"Smart contract platforms, Internet of things, Layer 1"
161,BICO,Biconomy,162,0.25167583,6.88%,157199000.0,10956000.0,624610000.0,"Interoperability, Web3, Layer 1"
162,ONE,Harmony,163,0.01161727,-1.01%,156276000.0,6980000.0,13452000000.0,Smart contract platforms
163,USTC,TerraClassicUSD,164,0.01531674,-0.05%,149957000.0,11091000.0,9790000000.0,"Stablecoins, Algorithmic Stablecoins, Seigniorage"
164,BORA,BORA,165,0.14213,-0.49%,141242000.0,1171000.0,993750000.0,"Gaming, NFTs & Collectibles"
165,TOMO,TomoChain,166,1.38814352,2.82%,141442000.0,12864000.0,101893000.0,"Smart contract platforms, Scaling, Enterprise solutions"
166,AXL,Axelar,167,0.38912136,-0.47%,138316000.0,21142000.0,355457000.0,Interoperability
167,MOB,MobileCoin,168,0.69620177,-3.29%,135959000.0,1798000.0,195286000.0,"Privacy, Payments"
168,DGB,DigiByte,169,0.00798308,-0.77%,131098000.00000001,1517000.0,16422000000.0,"Cryptocurrencies, Smart contract platforms"
169,LPT,Livepeer,170,4.6349565,-3.75%,132911000.0,32563000.000000004,28676000.0,"Distributed computing & Storage, Web3"
170,SKL,SKALE Network,171,0.02814146,-0.17%,131478000.00000001,9522000.0,4672000000.0,Scaling
171,CORE,Core DAO,172,0.86115,0.27%,130911000.0,20283000.0,152019000.0,"Scaling, Web3, DAO"
172,STG,Stargate Finance,173,0.62674707,-0.23%,127852000.0,13861000.0,203993000.0,Interoperability
173,KDA,Kadena,174,0.52589553,-0.40%,127432000.0,2136000.0,242314000.0,"Smart contract platforms, Layer 1"
174,RBN,Ribbon Finance,175,0.21957,0.72%,166980000.0,118900.0,760485000.0,"Derivatives, DeFi"
175,FLUX,Flux,176,0.39483115,-1.01%,124794000.0,8590000.0,316069000.0,"Smart contract platforms, Distributed computing & Storage, Interoperability, DAO"
176,CKB,Nervos Network,177,0.0030014,0.78%,125358000.0,2085000.0,41767000000.0,"Smart contract platforms, Scaling"
177,UMA,UMA,178,1.6640492,1.59%,122049000.0,6717000.0,73344000.0,"Oracles, Derivatives, DeFi, Web3, DAO"
178,ZEN,Horizen,179,8.6184618,-1.52%,120609000.0,5847000.0,13994000.0,"Privacy, Smart contract platforms, Enterprise solutions, Web3"
179,DAO,DAO Maker,180,0.82013,-0.29%,118052000.0,1102000.0,143943000.0,DeFi
180,ACH,Alchemy Pay,181,0.01684631,-3.62%,111078000.0,8647000.0,6594000000.0,Payments
181,CELR,Celer Network,182,0.01432850,-1.01%,80838000.0,3531000.0,5642000000.0,"Interoperability, Scaling"
182,EDU,Open Campus,183,0.59200087,-0.49%,110938000.0,8960000.0,187396000.0,Education
183,STORJ,Storj,184,0.28865847,-0.18%,41475000.0,13001000.0,143682000.0,"Distributed computing & Storage, Web3"
184,KNC,Kyber Network Crystal v2,185,0.64410768,-1.12%,117222000.0,11271000.0,181992000.0,"Decentralized exchange, DeFi, DAO"
185,CFG,Centrifuge,186,0.3037,-5.83%,109412000.0,241985.0,360263000.0,"Asset-backed Tokens, DeFi"
186,CTSI,Cartesi,187,0.14724088,-0.12%,109256000.0,4107999.9999999995,742024000.0,"Smart contract platforms, Scaling, Web3, Layer 1"
187,LSK,Lisk,188,0.82764422,-2.16%,106684000.0,1102000.0,128900000.0,"Developments tools, Enterprise solutions"
188,RSR,Reserve Rights,189,0.00208374,0.73%,105437000.0,7979000.0,50600000000.0,Cryptocurrencies
189,JOE,JOE,190,0.31075175,-1.66%,106847000.0,5098000.0,343835000.0,"Decentralized exchange, DeFi"
190,AMP,Amp,191,0.00243256,-0.77%,102721000.0,12155000.0,42228000000.0,"Payments, DeFi"
191,GAL,Galxe,192,1.21000079,-0.57%,102717000.0,6215000.0,84890000.0,"Data management & AI, Web3"
192,STETH,Lido Staked ETH,193,1853.33281717,-0.16%,14812000000.0,17451000.0,7992000.0,"Derivatives, DeFi"
193,KAS,Kaspa,194,0.046436,-0.15%,932152000.0,27385000.0,20074000000.0,"Cryptocurrencies, Layer 1"
194,HEX,HEX,195,0.005110,-1.40%,886131000.0,910816.0,173411000000.0,Cryptocurrencies
195,FRAX,Frax,196,0.98424,0.31%,799527000.0,17525000.0,812330000.0,"Stablecoins, Algorithmic Stablecoins, Seigniorage, DeFi"
196,BGB,Bitget Token,197,0.45539,-1.79%,637546000.0,11872000.0,1400000000.0,Centralized exchange
197,XRD,Radix,198,0.052472,-0.99%,536792000.00000006,1924000.0,10230000000.0,"Smart contract platforms, DeFi, Layer 1"
198,FTT,FTX Token,199,1.18757502,-1.86%,N/A,11588000.0,N/A,"Centralized exchange, Derivatives"
199,USDJ,USDJ,200,1.10277196,-0.22%,301009000.0,817640.0,272957000.0,"Stablecoins, Asset-backed Tokens"
200,FDUSD,First Digital USD,201,0.9997,-0.04%,300695000.0,19309000.0,300785000.0,Stablecoins
201,LUSD,Liquity USD,202,1.000000,0.00%,296989000.0,2539000.0,296989000.0,"Stablecoins, Asset-backed Stablecoins, DeFi"
202,AZERO,Aleph Zero,203,0.9253,-0.79%,246851000.0,1344000.0,266779000.0,"Privacy, Smart contract platforms"
203,DFI,DeFiChain,204,0.28507,-1.74%,209314000.0,3372000.0,734254000.0,"Decentralized exchange, DeFi"
204,BDX,Beldex,205,0.036974,0.24%,206394000.0,4233000.0,5582000000.0,Privacy
205,WEMIX,WEMIX,206,0.63932499,5.52%,199962000.0,3463000.0,312770000.0,"Gaming, Scaling, Marketplace"
206,TOMI,tomiNet,207,3.03798,-0.54%,198592000.0,24153000.0,65370000.00000001,"Developments tools, Web3"
207,FNSA,FINSCHIA,208,27.570,-2.88%,194531000.0,179566.0,7056000.0,Centralized exchange
208,BABYDOGE,Baby Doge Coin,209,0.0000000000000,-1.63%,176555000.0,2063000.0000000002,N/A,Memes
209,WBETH,Wrapped Beacon ETH,210,1872.49,-0.20%,174740000.0,521356.0,93320.0,Derivatives
210,RON,Ronin,211,0.67872343,-0.41%,165402000.0,524538.0,243696000.0,"Smart contract platforms, Gaming, NFTs & Collectibles"
211,XYM,Symbol,212,0.02734114,-0.95%,158658000.0,292450.0,5803000000.0,"Smart contract platforms, Enterprise solutions"
212,GNS,Gains Network,213,5.02071809,-2.71%,151757000.0,7769000.0,30226000.0,"Decentralized exchange, DeFi"
213,TRIBE,Tribe,214,0.2913,1.64%,131881000.0,112918.0,452734000.0,"Stablecoins, Algorithmic Stablecoins, DeFi, DAO"
214,PENDLE,Pendle,215,0.69739487,-4.09%,67538000.0,10449000.0,96843000.0,"Social, media & Content, Web3"
215,POLY,Polymath,216,0.1442,-0.62%,128669000.00000001,38518.0,892299000.0,"Asset management, Marketplace, Fundraising"
216,EURS,STASIS EURO,217,1.05896,-1.43%,131346000.0,495406.0,124033000.0,"Stablecoins, Asset-backed Stablecoins"
217,CHSB,SwissBorg,218,0.13120,-0.68%,125626000.0,17247000.0,957514000.0,Asset management
218,LYXE,LUKSO,219,6.5509,0.80%,100685000.0,327761.0,15370000.0,"NFTs & Collectibles, Metaverse"
219,ORDI,Ordinals,220,5.6310,0.06%,118251000.0,20677000.0,21000000.0,N/A
220,ELON,Dogelon Mars,221,0.0000002,0.00%,109489000.0,12263000.0,N/A,"Memes, Cryptocurrencies"
221,KEEP,Keep Network,222,0.11439395,0.15%,62882000.0,209543.0,549699000.0,"Privacy, Interoperability, DeFi"
222,BITCOIN,HarryPotterObamaSonic10Inu (ERC-20),223,0.09849,-1.85%,98470000.0,14286000.0,999798000.0,Memes
