,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
27,ACT,ADURO CLEAN TECHNOLOGIES INC.,0.910,1.11%,0.010,19209.0,17480.0,57518000.0,106.41%,N/A,-0.10,N/A,Process Industries
28,ACU,AURORA SOLAR TECHNOLOGIES INC,0.035,16.67%,0.005,45000.0,1575.0,6666000.0,-51.60%,N/A,-0.02,N/A,Electronic Technology
29,ADCO,ADCORE INC,0.205,0.00%,0.000,3000.0,N/A,13044000.0,-25.61%,N/A,-0.04,N/A,Technology Services
30,ADD,ARCTIC STAR EXPLORATION CORP,0.015,0.00%,0.000,427001.0,6405.0,3046000.0,-80.73%,N/A,-0.01,N/A,Non-Energy Minerals
31,ADE,ADEX MINING INC,0.010,100.00%,0.005,5011.0,N/A,3386000.0,-37.50%,N/A,-0.00,N/A,Non-Energy Minerals
32,ADEN,ADENTRA INC,36.14,0.89%,0.32,92254.0,3334000.0,800357000.0,3.15%,6.87,5.31,3080.0,Distribution Services
33,ADG.H,ARCUS DEVELOPMENT GROUP INC,0.010,0.00%,0.000,2162.0,N/A,738781.0,-48.00%,N/A,-0.00,N/A,Non-Energy Minerals
34,ADK,DIAGNOS INC,0.430,0.00%,0.000,63500.0,27305.0,30363000.0,136.23%,N/A,-0.04,N/A,Technology Services
35,ADN,ACADIAN TIMBER CORP,16.95,-0.35%,-0.06,1539.0,26086.0,289749000.0,2.68%,7.49,2.26,N/A,Non-Energy Minerals
36,ADW.A,ANDREW PELLER LTD,4.30,2.14%,0.09,10143.0,43615.0,189952000.0,-30.70%,N/A,-0.08,1629.0,Consumer Non-Durables
37,ADZN,ADVENTUS MINING CORPORATION,0.290,-1.69%,-0.005,N/A,N/A,52991000.0,-29.99%,N/A,-0.05,N/A,Non-Energy Minerals
38,AE,AMERICAN EAGLE GOLD CORP,0.265,-7.02%,-0.020,2158000.0,571775.0,25592000.0,788.44%,N/A,-0.04,N/A,Non-Energy Minerals
39,AEC,ANFIELD ENERGY INC,0.045,0.00%,0.000,217057.0,9768.0,30549000.0,-24.18%,N/A,-0.01,N/A,Non-Energy Minerals
40,AEG,AEGIS BRANDS INC,0.340,0.00%,0.000,1000.0,N/A,11440000.0,17.26%,N/A,-0.21,N/A,Consumer Services
41,AEL.H,AMSECO EXPLORATION LTD,0.030,0.00%,0.000,100000.0,3000.0,438428.0,-24.00%,N/A,-0.00,N/A,Non-Energy Minerals
42,AEM,AGNICO EAGLE MINES LTD,65.00,0.54%,0.35,980151.0,63710000.0,31962000000.0,21.18%,9.36,6.97,16105.0,Non-Energy Minerals
43,AEMC,ALASKA ENERGY METALS CORP,0.50,-5.66%,-0.03,139700.0,69850.0,13432000.0,101.30%,N/A,-0.14,N/A,Non-Energy Minerals
44,AEP,ATLAS ENGINEERED PRODUCTS LTD,1.15,0.88%,0.01,179716.0,206673.0,65985000.0,114.18%,8.99,0.13,N/A,Non-Energy Minerals
45,AETH,AETHER GLOBAL INNOVATIONS CORP.,0.050,-37.50%,-0.030,199150.0,9958.0,8440000.0,29.87%,N/A,-0.03,N/A,Electronic Technology
46,AEZS,AETERNA ZENTARIS INC,3.99,2.31%,0.09,N/A,N/A,18938000.0,-38.68%,N/A,-6.69,N/A,Health Technology
47,AFCC.H,AUTOMOTIVE FINCO CORP,0.64,3.23%,0.02,2500.0,1600.0,12288000.0,-62.87%,457.14,0.00,N/A,Finance
48,AFE,AFRICA ENERGY CORP,0.105,0.00%,0.000,11000.0,1155.0,147820000.0,-69.39%,N/A,-0.02,N/A,Energy Minerals
49,AFM,ALPHAMIN RES CORP,0.97,0.00%,0.00,118883.0,115317.0,1236000000.0,36.85%,12.68,0.08,N/A,Non-Energy Minerals
50,AFN,AG GROWTH INTERNATIONAL INC,53.19,-2.58%,-1.41,26261.0,1397000.0,1034999999.9999999,64.48%,N/A,-2.62,4987.0,Producer Manufacturing
51,AFX,ARCTIC FOX LITHIUM CORP.,0.115,-11.54%,-0.015,33000.0,3795.0,6096000.0,77.17%,N/A,-0.01,N/A,Non-Energy Minerals
52,AGC,AVANTI GOLD CORP.,0.550,1.85%,0.010,11500.0,6325.0,10795000.0,1085.98%,N/A,-0.51,N/A,Non-Energy Minerals
53,AGD,ANTIOQUIA GOLD INC,0.005,0.00%,0.000,N/A,N/A,4747000.0,-80.00%,N/A,-0.01,N/A,Non-Energy Minerals
54,AGF.B,AGF MANAGEMENT LTD,7.73,-0.13%,-0.01,52490.0,405748.0,504521000.0,15.00%,5.71,1.38,N/A,Finance
55,AGH.H,CANADIAN SILVER HUNTER INC,0.025,-16.67%,-0.005,13500.0,N/A,840591.0,-8.00%,2.63,0.01,N/A,Non-Energy Minerals
56,AGI,ALAMOS GOLD INC,15.53,-0.83%,-0.13,360683.0,5601000.0,6202000000.0,53.41%,28.06,0.56,3484.0,Non-Energy Minerals
57,AGMR,SILVER MOUNTAIN RESOURCES INC,0.140,0.00%,0.000,1700.0,N/A,30446000.0,N/A,N/A,-0.04,N/A,Non-Energy Minerals
58,AGN,ALGERNON PHARMACEUTICALS INC.,0.170,-5.56%,-0.010,14700.0,2499.0,2840000.0,-51.56%,N/A,-0.57,N/A,Health Technology
59,AGRI.U,AGRINAM ACQUISITION CORP,10.50,0.00%,0.00,N/A,N/A,36225000.0,N/A,N/A,,N/A,Finance
60,AGX,SILVER X MINING CO,0.210,-6.67%,-0.015,47061.0,9883.0,36437000.0,5.95%,N/A,-0.08,N/A,Non-Energy Minerals
61,AH,ALEAFIA HEALTH INC,0.020,0.00%,0.000,N/A,N/A,8064999.999999999,-81.27%,N/A,-0.09,N/A,Process Industries
62,AHR,AMARC RESOURCES,0.095,-5.00%,-0.005,12100.0,1150.0,18660000.0,0.00%,N/A,-0.00,N/A,Non-Energy Minerals
63,AI,ATRIUM MORTGAGE INVESTMENT CORP,11.31,0.27%,0.03,20497.0,231821.0,491892000.0,-3.08%,9.84,1.24,N/A,Finance
64,AIC,ALPHAGEN INTELLIGENCE CORP.,0.160,0.00%,0.000,51014.0,8162.000000000001,14532000.0,60.00%,N/A,-0.03,N/A,Technology Services
65,AICO,GENERATIVE AI SOLUTIONS CORP.,0.580,0.00%,0.000,18680.0,10834.0,40543000.0,7158.00%,0.03,22.28,N/A,Finance
66,AIF,ALTUS GROUP LTD,43.44,-2.38%,-1.06,84413.0,3667000.0,2016000000.0,-13.57%,242.68,0.19,N/A,Finance
67,AIG,GENESIS AI CORP.,0.080,-11.11%,-0.010,224000.0,17920.0,2489000.0,80.00%,2.21,0.04,N/A,Technology Services
68,AII,ALMONTY INDUSTRIES INC,0.57,0.00%,0.00,76200.0,43434.0,129978000.00000001,-32.38%,N/A,-0.07,N/A,Non-Energy Minerals
69,AIM,AIMIA INC,3.24,0.93%,0.03,68049.0,220479.0,270168000.0,-36.91%,0.67,4.90,N/A,Finance
70,AIML,AI-ML INNOVATIONS INC.,0.130,-3.70%,-0.005,53005.0,6891.0,4954000.0,-16.58%,N/A,-0.05,N/A,Non-Energy Minerals
71,AIP.U,AIP REALTY TRUST,0.67,0.00%,0.00,N/A,N/A,N/A,N/A,N/A,,N/A,Miscellaneous
72,AIR,CLEAN AIR METALS INC,0.050,-9.09%,-0.005,235000.0,11750.0,12309000.0,-71.63%,N/A,-0.02,N/A,Non-Energy Minerals
73,AIVC,AI ARTIFICIAL INTELLIGENCE VENTURES,0.255,-1.92%,-0.005,37985.0,9686.0,8327000.0,375.70%,N/A,-0.01,N/A,Finance
74,AKH.H,ALASKA HYDRO CORPORATION,0.015,0.00%,0.000,N/A,N/A,663575.0,-20.00%,N/A,-0.00,N/A,Miscellaneous
75,AKT.A,AKITA DRILLING LTD,1.89,1.07%,0.02,129062.99999999999,243929.0,74030000.0,3.61%,2.77,0.69,1000.0,Industrial Services
76,AL,ALX RESOURCES CORP,0.025,0.00%,0.000,1026000.0,25656.0,5860000.0,-37.34%,N/A,-0.01,N/A,Non-Energy Minerals
77,ALA,ALTAGAS LTD,25.77,0.86%,0.22,493667.0,12722000.0,7198000000.0,-10.73%,12.50,2.07,3045.0,Utilities
78,ALC,ALGOMA CENTRAL CORP,15.57,1.17%,0.18,N/A,10198.0,593979000.0,-6.80%,6.16,2.80,1600.0,Transportation
79,ALCU,ALPHA COPPER CORP,0.160,0.00%,0.000,27000.0,4320.0,13236000.0,-49.11%,N/A,-0.14,N/A,Non-Energy Minerals
80,ALDE,ALDEBARAN RESOURCES INC,0.92,2.22%,0.02,38082.0,35035.0,132532999.99999999,64.88%,N/A,-0.01,N/A,Non-Energy Minerals
81,ALE,ALERIO GOLD CORP.,0.025,0.00%,0.000,275000.0,6875.0,2053999.9999999998,-56.62%,0.42,0.06,N/A,Non-Energy Minerals
82,ALLI,ALPHA LITHIUM CORPORATION,1.32,-2.22%,-0.03,181868.0,240066.0,147999000.0,-23.73%,N/A,-0.08,N/A,Non-Energy Minerals
83,ALS,ALTIUS MINERALS CORP,19.99,-4.63%,-0.97,183686.0,3672000.0,998421000.0,16.23%,38.09,,N/A,Non-Energy Minerals
84,ALTA,ALTAMIRA GOLD CORP,0.210,2.44%,0.005,5600.0,1176.0,33620000.0,36.93%,N/A,-0.01,N/A,Non-Energy Minerals
85,ALV,ALVOPETRO ENERGY LTD,10.18,0.30%,0.03,19106.0,194499.0,370046000.0,56.95%,8.65,1.23,N/A,Energy Minerals
86,ALY,ANALYTIXINSIGHT INC,0.130,-13.33%,-0.020,351000.0,45630.0,14583000.0,-64.43%,N/A,-0.04,N/A,Technology Services
87,ALYA,ALITHYA GROUP INC,2.35,0.00%,0.00,12004.0,28209.0,223710000.0,-22.05%,N/A,-0.32,3600.0,Technology Services
88,AMB,AMBARI BRANDS INC.,0.610,-6.15%,-0.040,360399.0,219843.0,33862000.0,N/A,N/A,-0.02,N/A,Consumer Non-Durables
89,AMC,ARIZONA METALS COR,2.81,-1.75%,-0.05,75941.0,213394.0,331880000.0,-35.76%,N/A,-0.18,N/A,Non-Energy Minerals
90,AME,ABACUS MINING & EXPLORATION CORP,0.055,-8.33%,-0.005,196166.0,10789.0,7251000.0,31.16%,N/A,-0.03,N/A,Non-Energy Minerals
91,AMEN,AMCOMRI ENTERTAINMENT INC.,0.120,0.00%,0.000,N/A,N/A,8833000.0,N/A,18.18,0.01,N/A,Finance
92,AMK,AMERICAN CREEK RESOURCE,0.135,-3.57%,-0.005,84500.0,11408.0,61993000.0,-9.68%,14.06,0.01,N/A,Non-Energy Minerals
93,AMMP,AMMPOWER CORP,0.165,3.13%,0.005,29125.0,4806.0,24919000.0,-30.54%,N/A,-0.24,N/A,Non-Energy Minerals
94,AMPD,AMPD VENTURES INC.,0.015,0.00%,0.000,25934.0,N/A,1805000.0,-85.82%,N/A,-0.11,N/A,Technology Services
95,AMPS,AMERICAN FUTURE FUEL CORPORATION,0.270,5.88%,0.015,17880.0,4828.0,19822000.0,-44.25%,N/A,-0.05,N/A,Non-Energy Minerals
96,AMS,ALCHEMIST MINING INC.,0.650,1.56%,0.010,64000.0,41600.0,11815000.0,149.04%,N/A,-0.06,N/A,Non-Energy Minerals
97,AMX,AMEX EXPLORATION INC,1.46,0.69%,0.01,41164.0,60099.0,149702000.0,-38.30%,N/A,-0.02,N/A,Non-Energy Minerals
98,AMY,RECYCLICO BATTERY MATERIALS INC,0.395,0.00%,0.000,22150.0,8749.0,101607000.0,-24.20%,N/A,-0.01,N/A,Non-Energy Minerals
99,AMZ,AZUCAR MINERALS LTD,0.075,0.00%,0.000,24000.0,1800.0,5537000.0,15.38%,N/A,-0.00,N/A,Non-Energy Minerals
100,AND,ANDLAUER HEALTHCARE GROUP INC,40.76,0.49%,0.20,48968.0,1996000.0,1700000000.0,-13.97%,24.55,1.69,2230.0,Transportation
101,ANE,ALTAN NEVADA MINERALS LTD,0.060,0.00%,0.000,6000.0,N/A,2138000.0,179.01%,N/A,-0.02,N/A,Non-Energy Minerals
102,ANK,ANGKOR RESOURCES CORP,0.070,0.00%,0.000,50700.0,3549.0,11933000.0,-41.29%,N/A,-0.01,N/A,Non-Energy Minerals
103,ANON,ANONYMOUS INTELLIGENCE COMPANY INC.,0.085,0.00%,0.000,85688.0,7283.0,8788000.0,36.29%,N/A,-0.05,N/A,Commercial Services
104,ANRG,ANAERGIA INC,1.00,-4.76%,-0.05,80598.0,80598.0,67773000.0,-84.70%,N/A,-0.99,N/A,Industrial Services
105,ANTL,ANTLER GOLD INC,0.090,0.00%,0.000,10000.0,N/A,7136000.0,-27.54%,N/A,-0.01,N/A,Non-Energy Minerals
106,ANZ,ALIANZA MINERALS LTD,0.045,0.00%,0.000,36000.0,1620.0,7173000.0,0.32%,N/A,-0.01,N/A,Non-Energy Minerals
107,AOI,AFRICA OIL CORP,3.18,-0.31%,-0.01,244067.0,776133.0,1475000000.0,25.65%,N/A,-0.25,N/A,Energy Minerals
108,AOT,ASCOT RESOURCES,0.54,-1.82%,-0.01,41850.0,22599.0,305556000.0,65.03%,N/A,-0.04,N/A,Non-Energy Minerals
109,APGO,APOLLO SILVER CORP,0.110,-4.35%,-0.005,245272.0,26980.0,20063000.0,-45.24%,N/A,-0.05,N/A,Non-Energy Minerals
110,API,APPIA RARE EARTHS & URANIUM CORP,0.155,3.33%,0.005,76780.0,11901.0,19579000.0,-56.44%,N/A,-0.03,N/A,Non-Energy Minerals
111,APL,APPULSE CORPORATION,0.250,0.00%,0.000,N/A,N/A,3621000.0,-8.54%,14.04,0.02,N/A,Technology Services
112,APLI,APPILI THERAPEUTICS INC,0.055,0.00%,0.000,70915.0,3900.0,6670000.0,-21.43%,N/A,-0.08,N/A,Health Technology
113,APLV,APARTMENTLOVE INC.,0.180,5.88%,0.010,55300.0,9954.0,8706000.0,-13.01%,N/A,-0.05,N/A,Technology Services
114,APM,ANDEAN PRECIOUS METALS CORP,0.71,-1.39%,-0.01,3500.0,2485.0,114103000.0,-36.06%,N/A,-0.10,N/A,Finance
115,APN,ALTIPLANO METALS INC,0.130,0.00%,0.000,17000.0,2210.0,15408000.0,-36.86%,N/A,-0.01,N/A,Non-Energy Minerals
116,APS,APTOSE BIOSCIENCES INC,4.88,0.00%,0.00,N/A,N/A,30742000.0,-67.97%,N/A,-9.47,N/A,Health Technology
117,APX,APEX RESOURCES INC,0.075,15.38%,0.010,53000.0,3975.0,2278000.0,6.47%,N/A,-0.02,N/A,Non-Energy Minerals
118,AQN,ALGONQUIN POWER & UTILITIES CORP,10.42,-0.10%,-0.01,2659000.0,27702000.0,7183000000.0,-42.19%,N/A,-0.07,3951.0,Utilities
119,AQS,AEQUUS PHARMACEUTICALS INC,0.040,0.00%,0.000,9500.0,N/A,5305000.0,-24.53%,N/A,-0.02,N/A,Health Technology
120,AR,ARGONAUT GOLD INC,0.54,0.00%,0.00,713705.0,385401.0,452969000.0,0.12%,N/A,-0.23,2705.0,Non-Energy Minerals
121,ARA,ACLARA RESOURCES INC,0.385,0.00%,0.000,62748.0,24158.0,62841000.0,8.87%,N/A,-0.07,N/A,Non-Energy Minerals
122,ARCH,ARCH BIOPARTNERS INC,2.07,-1.90%,-0.04,13800.0,28566.0,132083000.0,-40.26%,N/A,-0.06,N/A,Health Technology
123,ARE,AECON GROUP INC,10.84,0.00%,0.00,209549.0,2272000.0,668777000.0,0.25%,11.97,1.19,10532.0,Industrial Services
124,ARG,AMERIGO RESOURCES CORP,1.51,-1.31%,-0.02,59880.0,90419.0,253133000.0,23.51%,N/A,-0.00,N/A,Non-Energy Minerals
125,ARGO,ARGO LIVING SOILS CORP,0.130,8.33%,0.010,20000.0,2600.0,2457000.0,N/A,N/A,-0.01,N/A,Process Industries
126,ARIC,AWALE RESOURCES LIMITED,0.160,3.23%,0.005,2550.0,N/A,7389000.0,80.36%,N/A,-0.38,N/A,Non-Energy Minerals
127,ARIS,ARIS MINING CORPORATION,3.06,0.66%,0.02,146171.0,447283.0,416079000.0,15.01%,N/A,-0.11,3326.0,Non-Energy Minerals
128,ARJN,ARANJIN RESOURCES LTD,0.020,0.00%,0.000,23000.0,N/A,6254000.0,-22.57%,N/A,-0.02,N/A,Non-Energy Minerals
129,ARK,ARRAS MINERALS CORP,0.260,-1.89%,-0.005,20602.0,5357.0,17657000.0,-5.96%,N/A,-0.14,N/A,Non-Energy Minerals
130,ARQ,ARGO GOLD INC.,0.080,0.00%,0.000,5049.0,N/A,5279000.0,0.00%,N/A,-0.02,N/A,Non-Energy Minerals
131,ARR,ALTIUS RENEWABLE ROYALTIES CORP,9.10,0.44%,0.04,5903.0,53717.0,278936000.0,14.48%,N/A,-0.01,N/A,Utilities
132,ARS,ARES STRATEGIC MINING INC.,0.170,-20.93%,-0.045,N/A,N/A,29753000.0,-41.03%,N/A,-0.05,N/A,Process Industries
133,ART,ARHT MEDIA INC,0.145,0.00%,0.000,91518.0,13270.0,27885000.0,-24.10%,N/A,-0.05,N/A,Technology Services
134,ARTG,ARTEMIS GOLD INC,5.16,-0.19%,-0.01,57503.0,296715.0,1022000000.0,39.17%,N/A,-0.12,N/A,Non-Energy Minerals
135,ARTO,ARETTO WELLNESS INC,0.030,20.00%,0.005,10000.0,N/A,271759.0,-85.26%,N/A,,N/A,Retail Trade
136,ARU,AURANIA RESOURCES LIMITED,0.360,-5.26%,-0.020,31395.0,11302.0,22123000.0,-35.93%,N/A,-0.22,N/A,Non-Energy Minerals
137,ARWY,ARWAY CORPORATION,0.620,-11.43%,-0.080,2876.0,1783.0,N/A,N/A,N/A,,N/A,Technology Services
138,ARX,ARC RESOURCES LTD,20.65,1.72%,0.35,3358000.0,69353000.0,12371000000.0,7.40%,5.32,3.90,N/A,Energy Minerals
139,ASCU,ARIZONA SONORAN COPPER CO INC,1.66,-1.19%,-0.02,39006.0,64750.0,149239000.0,3.24%,N/A,-0.07,N/A,Non-Energy Minerals
140,ASE,ASANTE GOLD CORPORATION,1.360,-1.45%,-0.020,40400.0,54944.0,611676000.0,42.83%,N/A,-0.61,1373.0,Non-Energy Minerals
141,ASEP,ASEP MEDICAL HOLDINGS INC.,0.240,0.00%,0.000,95266.0,22864.0,14911000.0,N/A,N/A,-0.09,N/A,Finance
142,ASHL,ASHLEY GOLD CORP,0.070,-12.50%,-0.010,15000.0,1050.0,N/A,N/A,N/A,,N/A,Non-Energy Minerals
143,ASM,AVINO SILVER & GOLD MINES,0.91,1.11%,0.01,2888.0,2628.0,107276000.0,12.84%,36.99,0.03,N/A,Non-Energy Minerals
144,ASND,ASCENDANT RESOURCES INC,0.115,0.00%,0.000,60215.0,6925.0,15018000.0,-25.21%,N/A,-0.13,N/A,Non-Energy Minerals
145,ASTI,AQUARIUS SURGICAL TECHNOLOGIES INC.,0.010,100.00%,0.005,5000.0,N/A,137996.0,-86.71%,N/A,-0.03,N/A,Health Technology
146,ASTR,ASTRA EXPLORATION INC,0.145,0.00%,0.000,N/A,N/A,5788000.0,15.19%,N/A,-0.07,N/A,Finance
147,ATCM,ATCO MINING INC.,0.105,-8.70%,-0.010,18750.0,1969.0,3858000.0,N/A,N/A,-0.09,N/A,Non-Energy Minerals
148,ATCU,ALTA COPPER CORP,0.51,-1.92%,-0.01,16877.0,8607.0,39966000.0,-4.39%,N/A,-0.04,N/A,Non-Energy Minerals
149,ATD,ALIMENTATION COUCHE-TARD,67.61,0.57%,0.38,703708.0,47578000.0,65696000000.0,15.30%,16.75,4.04,128000.0,Retail Trade
150,ATE,ANTIBE THERAPEUTICS INC,0.54,3.85%,0.02,1520.0,N/A,27361000.0,-15.30%,N/A,-0.37,N/A,Health Technology
151,ATH,ATHABASCA OIL CORP,3.73,-0.80%,-0.03,4058000.0,15135000.0,2202000000.0,69.19%,3.63,1.10,N/A,Energy Minerals
152,ATHR,"AETHER CATALYST SOLUTIONS, INC.",0.080,0.00%,0.000,2500.0,N/A,4293000.0,-22.37%,N/A,-0.02,N/A,Producer Manufacturing
153,ATI,ALTAI RESOURCES,0.070,7.69%,0.005,188000.0,13160.0,3642000.0,-13.33%,140.00,0.00,N/A,Energy Minerals
154,ATS,ATS CORPORATION,59.66,6.54%,3.66,463654.0,27662000.0,5537000000.0,41.29%,43.11,1.39,6500.0,Producer Manufacturing
155,ATW,ATW TECH INC,0.025,25.00%,0.005,17000.0,N/A,4780000.0,-25.05%,N/A,-0.01,N/A,Commercial Services
156,ATX,ATEX RESOURCES INC,1.01,-4.72%,-0.05,270976.0,273686.0,178470000.0,176.38%,N/A,-0.02,N/A,Non-Energy Minerals
157,ATY,ATICO MINING CORP,0.160,-13.51%,-0.025,56620.0,9059.0,22438000.0,-32.23%,N/A,-0.08,N/A,Non-Energy Minerals
158,ATZ,ARITZIA INC,23.71,-2.55%,-0.62,882344.0,20920000.0,2731000000.0,-41.47%,15.86,1.56,8300.0,Retail Trade
159,AU,AURION RESOURCES LTD,0.60,-6.25%,-0.04,26129.0,15677.0,83204000.0,7.24%,N/A,-0.03,N/A,Non-Energy Minerals
160,AUAG,AUXICO RESOURCES CANADA INC.,0.180,0.00%,0.000,1000.0,N/A,14194000.0,-75.28%,0.32,0.58,N/A,Non-Energy Minerals
161,AUAU,ALLEGIANT GOLD LTD,0.160,-3.03%,-0.005,30010.0,4802.0,16981000.0,-38.54%,N/A,-0.01,N/A,Non-Energy Minerals
162,AUCU,INFLECTION RESOURCES LTD.,0.290,3.57%,0.010,93303.0,27058.0,24569000.0,175.78%,N/A,-0.01,N/A,Non-Energy Minerals
163,AUEN,GOLDEN SKY MINERALS CORP,0.130,-3.70%,-0.005,11500.0,1495.0,2322000.0,-50.97%,N/A,-0.04,N/A,Non-Energy Minerals
164,AUMB,1911 GOLD CORPORATION,0.090,0.00%,0.000,2001.0,N/A,6139000.0,-47.06%,N/A,-0.11,N/A,Non-Energy Minerals
165,AUOZ,EMPEROR METALS INC.,0.080,6.67%,0.005,130500.0,10440.0,3863000.0,42.96%,N/A,-0.02,N/A,Non-Energy Minerals
166,AUR.H,AURORA ROYALTIES INC,0.020,0.00%,0.000,1000.0,N/A,931201.0,-17.86%,N/A,-0.00,N/A,Non-Energy Minerals
167,AUTO,CARBEEZA INC,0.135,-25.00%,-0.045,1500.0,N/A,5343000.0,16.32%,N/A,-0.08,N/A,Electronic Technology
168,AUUA,ALUULA COMPOSITES INC,0.170,0.00%,0.000,10000.0,1700.0,4250000.0,N/A,N/A,-0.01,N/A,Finance
169,AVA,AVANTE MINING CORP,0.120,-17.24%,-0.025,978975.0,117477.0,3863000.0,48.97%,N/A,,N/A,Non-Energy Minerals
170,AVCN,AVICANNA INC,0.250,-9.09%,-0.025,129916.0,32479.0,22880000.0,10.29%,N/A,-0.22,N/A,Health Technology
171,AVCR,AVRICORE HEALTH INC,0.180,-12.20%,-0.025,109718.0,19749.0,20345000.0,38.83%,N/A,-0.01,N/A,Health Technology
172,AVG,AVIDIAN GOLD CORP,0.020,0.00%,0.000,6000.0,N/A,3586000.0,-50.29%,N/A,-0.02,N/A,Non-Energy Minerals
173,AVL,AVALON ADVANCED MATERIALS INC,0.140,-3.45%,-0.005,15501.0,2170.0,80974000.0,74.96%,N/A,-0.01,N/A,Non-Energy Minerals
174,AVN,AVANTI HELIUM CORP,0.70,-1.41%,-0.01,146015.0,102211.0,54732000.0,-12.12%,N/A,-0.11,N/A,Energy Minerals
